entity;facility;own_facility;classification_fuel_rawmaterial;emissions_activites;detailed_desc;types_of_fuel;detailed_desc_fuel;date_collection;january;february;maret;april;may;june;july;augustus;september;october;november;december;fuel_usage;unit;fuel_consumption(Kg);energy_consumption(MJ);ghg_emissions(tCO2eq);kgCO2;kgCH4;kgN2O;updated_by;updated_date
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (1공장);Car;Fuel;Mobile combustion;;Automotive gasoline/diesel oil;DIESEL OIL;2022;5,46506;4,499161;5,1348;5,58748;5,0319;5,3198;5,954588;5,77436;1,9721;1,715;1,657;1,818;49,929249;㎥;36997,57351;1638992,506;113,9834061;113582,1807;4,916977519;0,983395504;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (1공장);Car;Fuel;Mobile combustion;;Automotive gasoline/diesel oil;GASOLINE;2022;0,037;0;0;0;0;0;0,544;0,723;4,67024;6,3399;4,91562;5,08671;22,31647;㎥;16536,50427;732567,1392;50,94623518;50766,90274;2,197701417;0,439540283;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (2,3공장);Mess;Fuel;Stationary combustion;;Liquefied Petroleum Gas (LPG);LPG 12 KG & CAN 230 GR;2022;144;120;144;122,46;122,46;146,96;148,44;148,44;123,7;148,44;148,44;148,44;1665,78;kg;1665,78;78791,394;4,976015334;4971,736961;0,078791394;0,007879139;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (2,3공장);Generator;Fuel;Stationary combustion;;Gas / Diesel oil;SOLAR/DIESEL OIL;2022;2,5;1;1;1,3;1,25;1;1;1,25;1;3,65;1;1,504;17,454;㎥;14731,176;633440,568;47,09301234;46937,94609;1,900321704;0,380064341;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (2,3공장);Boiler;Fuel;Stationary combustion;;Industrial Wastes;FABRIC WASTE FROM CUTTING;2022;60628,78179;48182,90966;77836,80844;55660,54468;56527,93057;76866,12238;63000,92763;45761,76165;43903,11002;53870,2583;52157,97914;63603,4429;698000,5772;kg;698000,5772;15186269,73;2200,520857;2171636,572;455,588092;60,74507894;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (2,3공장);AC;RawMaterial;Others;;Hydrofluorocarbons(HFCs);HFC-410A;2022;11,3;11,3;11,3;0;0;0;0;0;0;0;11,3;0;45,2;kg;45,2;0;101,9486;0;0;0;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (2,3공장);AC;RawMaterial;Others;;ETC;HCFC-22;2022;0;0;0;0;0;0;0;0;0;0;27,2;0;27,2;kg;27,2;0;53,312;0;0;0;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (2,3공장);AC;RawMaterial;Others;;Hydrofluorocarbons(HFCs);HFC-32;2022;;;;;;;;;;;;;10;kg;10;0;7,71;0;0;0;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (2,3공장);Car;Fuel;Mobile combustion;;Automotive gasoline/diesel oil;DIESEL OIL;2022;22,499667;19,06319;20,26981;25,025762;21,416898;21,363485;25,041325;23,308639;3,38334;1,980501;2,487;2,46;188,299617;㎥;139530,0162;6181179,718;429,8689072;428355,7544;18,54353915;3,708707831;;
PT. YONGJIN JAVASUKA GARMENT;PT. YONGJIN JAVASUKA GARMENT (2,3공장);Car;Fuel;Mobile combustion;;Automotive gasoline/diesel oil;GASOLINE;2022;0,4475;0,86;1,146;1,978;1,786362;2,15642;1,74;1,04955;18,0207;22,35988;19,01067;19,79192;90,347002;㎥;66947,12848;2965757,792;206,2530325;205527,015;8,897273375;1,779454675;;
